date,potential_evaporation,soil_temperature_level_1,soil_temperature_level_2,surface_net_solar_radiation,surface_net_thermal_radiation,surface_solar_radiation_downwards,temperature_2m_min,temperature_2m_max,temperature_2m_mean,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,soil_temperature_1_c,soil_temperature_2_c,precipitation_m,precipitation_mm,solar_radiation_MJ,potential_evaporation_mm,evapotranspiration_crop_mm,2m_temperature,temperature_avg_c,soil_temp_surface_c,soil_temp_subsurface_c,gdd,gdd_base0,gdd_base10,wind_speed_max,dry_days,heavy_precip_days,soil_moisture_stress
2022-05-25,-0.06460688449442387,287.4040349324544,286.16196060180664,194249086.75,-94230004.0,222835325.75,279.93103,294.9626,287.9470100402832,1.373745445221175e-05,1.2717997233072917,0.27206937472025555,0.3436431884765625,0.3561941782633464,14.254036545753479,13.01196543375651,1.373745445221175e-05,0.013737454049987718,222.8353277174756,-64.60688479244709,-64.60688479244709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5777483507990837,1.0,0.0,0.0
2022-05-26,-0.02798235695809126,287.1671651204427,287.0368359883626,62874854.25,-52163620.875,72167044.75,284.30698,290.4528,287.3093744913737,0.037678634510740494,-0.6561088562011719,0.2473607063293457,0.3485482533772786,0.34753672281901044,14.017165501912435,13.886835098266602,0.037678634510740494,37.67863500106614,72.16704398207366,-27.982356935739517,-27.982356935739517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3160905055701733,1.0,0.0,0.0
2022-05-27,-0.0119480537250638,287.97538630167645,286.8629455566406,29488728.75,-7858898.375,33859299.0,288.05002,290.8814,289.55641810099286,0.3181073288433254,1.6649481455485027,1.8425524234771729,0.4124914805094401,0.3870658874511719,14.825384140014648,13.712944030761719,0.3181073288433254,318.1073248386383,33.85929923353251,-11.948053874075413,-11.948053874075413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5060275569558144,1.0,0.0,0.0
2022-05-28,-0.026097813621163368,289.1648763020833,287.5890706380208,82784529.75,-13171474.5,95028358.0,287.17004,292.5232,289.8138287862142,0.3928016386926174,1.2449665069580078,-0.3960711161295573,0.40618896484375,0.41155242919921875,16.01487859090169,14.439072291056315,0.3928016386926174,392.80163288116455,95.0283577311784,-26.09781314432621,-26.09781314432621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.086462448040644,1.0,0.0,0.0
2022-05-29,-0.06584944855421782,289.09899520874023,287.70712025960285,171763013.25,-86134137.75,197289327.25,283.78674,295.9831,289.8429527282715,0.020648164936574176,2.471176783243815,0.6615691979726156,0.37493133544921875,0.3887125651041667,15.94899813334147,14.557120641072592,0.020648164936574176,20.648163244128227,197.2893276438117,-65.84944797307253,-65.84944797307253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6032204926013947,1.0,0.0,0.0
2022-05-30,-0.05797352269291878,290.20411173502606,288.7450319925944,145467362.0,-63756723.625,167137534.0,287.05115,296.53632,291.1821543375651,0.004334196331910789,2.1609681447347007,0.655914306640625,0.3610312143961589,0.3743095397949219,17.054113388061523,15.595033645629883,0.004334196331910789,4.3341963440179825,167.13753457088023,-57.97352221608162,-57.97352221608162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.354176757236322,1.0,0.0,0.0
2022-05-31,-0.0697710458189249,288.56424713134766,288.1860173543294,150664982.75,-37252307.75,173156774.25,281.87418,291.71472,286.62481053670246,0.33507215278223157,-2.1756820678710938,-0.8842248916625977,0.39801661173502606,0.3991076151529948,15.414246877034506,15.036017100016275,0.33507215278223157,335.0721627473831,173.15677445358597,-69.77104523777962,-69.77104523777962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.509422262509664,1.0,0.0,0.0
2022-06-01,-0.07785048708319664,287.66357167561847,287.1786575317383,175827165.75,-93591486.0,202152801.0,281.1948,291.81985,286.3749643961589,0.01712377369403839,-1.7989877065022786,-0.4135270913441976,0.3719278971354167,0.38646507263183594,14.51357332865397,14.028655370076498,0.01712377369403839,17.12377440929413,202.15280425921082,-77.8504869043827,-77.8504869043827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9070747196674347,1.0,0.0,0.0
2022-06-02,-0.06331695709377527,288.5067876180013,287.3357124328613,162180434.25,-63361244.0,186512411.75,281.97437,294.3777,288.4103062947591,0.0053420583717525005,-1.4056237538655598,-0.7473636865615845,0.36052195231119794,0.3734925587972005,15.356786727905273,14.185712178548178,0.0053420583717525005,5.342058464884758,186.5124092642218,-63.31695714592934,-63.31695714592934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6893944845845301,1.0,0.0,0.0
2022-06-03,-0.04977617831900716,287.94924290974933,287.73679224650067,81572881.75,-55869656.375,93857651.25,285.04962,290.6198,287.49023310343426,0.07945785866468213,-1.7537657419840496,-0.4023561477661133,0.37353261311848956,0.3678398132324219,14.79924201965332,14.586792627970377,0.07945785866468213,79.45785546302795,93.85765230096877,-49.77617774903774,-49.77617774903774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0275243322054544,1.0,0.0,0.0
2022-06-04,-0.037556007504463196,288.7100524902344,287.45877202351886,143098689.25,-54522412.75,164653354.75,283.30115,293.36823,287.99582544962567,0.0570417735598312,-0.8899510701497396,0.04775190353393555,0.3891137440999349,0.382415771484375,15.560053507486979,14.308773040771484,0.0570417735598312,57.041772328317165,164.65335254371166,-37.55600768327713,-37.55600768327713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3717872699101765,1.0,0.0,0.0
