date,potential_evaporation,soil_temperature_level_1,soil_temperature_level_2,surface_net_solar_radiation,surface_net_thermal_radiation,surface_solar_radiation_downwards,temperature_2m_min,temperature_2m_max,temperature_2m_mean,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,soil_temperature_1_c,soil_temperature_2_c,precipitation_m,precipitation_mm,solar_radiation_MJ,potential_evaporation_mm,evapotranspiration_crop_mm,2m_temperature,temperature_avg_c,soil_temp_surface_c,soil_temp_subsurface_c,gdd,gdd_base0,gdd_base10,wind_speed_max,dry_days,heavy_precip_days,soil_moisture_stress
2022-04-25,-0.04465674143284559,276.49560801188153,274.3618965148926,96102662.0,-53066318.0,131236982.0,274.62082,287.1767,279.3304379781087,0.0013154879405874453,-2.6780573527018228,-0.06366856892903645,0.3997077941894531,0.4054381052652995,3.3456073900063834,1.2118971596161525,0.0013154879405874453,1.3154879200737923,131.23698296118528,-44.6567415073514,-44.6567415073514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8589364687601724,1.0,0.0,0.0
2022-04-26,-0.026635064743459225,279.1811345418294,277.0372784932454,63229050.0,-9642713.75,80601374.0,279.06427,287.96283,282.5410321553548,0.09733544559276197,0.8770612080891927,1.4998794794082642,0.41170819600423175,0.4132162729899089,6.031134565671285,3.8872790336608887,0.09733544559276197,97.3354440331459,80.60137400915846,-26.63506445288658,-26.63506445288658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8320827980836234,1.0,0.0,0.0
2022-04-27,-0.011982967145740986,278.83355712890625,278.065367380778,59899512.0,-14931615.875,73498150.0,277.86737,284.06982,280.24436950683594,0.059892595279961824,0.045801798502604164,-0.8293282588322958,0.4119332631429036,0.4099864959716797,5.683560212453206,4.9153666496276855,0.059892595279961824,59.892594411969185,73.49815060989931,-11.98296720534563,-11.98296720534563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.170266680419445,1.0,0.0,0.0
2022-04-28,-0.053027447778731585,277.82643763224286,277.1873664855957,122433292.0,-47200438.1875,148361034.0,274.6155,281.65314,277.5283203125,0.009310247842222452,1.4691441853841145,-3.056489030520121,0.3986040751139323,0.40951283772786456,4.676436901092529,4.037365118662517,0.009310247842222452,9.310247629880905,148.36103284731507,-53.02744771540165,-53.02744771540165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4315591951211295,1.0,0.0,0.0
2022-04-29,-0.05976411420851946,277.2003682454427,276.91796112060547,98573338.0,-68654784.125,118873932.0,273.19632,280.44708,276.51099522908527,0.004180622054263949,0.1743602752685547,-2.670764923095703,0.38309351603190106,0.39450963338216144,4.050366262594859,3.7679597536722818,0.004180622054263949,4.180622100830078,118.87393260747194,-59.764114171266556,-59.764114171266556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9158968180418015,1.0,0.0,0.0
2022-04-30,-0.03302878513932228,277.8846829732259,276.8631769816081,114643130.0,-51681336.875,136705448.0,273.29767,286.20764,278.4974835713704,0.0024103471951093525,-0.5807859500249227,-1.1585780382156372,0.37920888264973956,0.38528696695963544,4.7346824159224825,3.713176886240641,0.0024103471951093525,2.4103472009301186,136.70544630661607,-33.02878513932228,-33.02878513932228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4314764936765034,1.0,0.0,0.0
2022-05-01,-0.03877764334902167,279.0822397867839,277.80409876505536,167318040.0,-80406514.375,196670140.0,273.923,287.15106,280.42674255371094,0.00013493598089553416,-1.4263680775960286,-1.0245073239008586,0.37623151143391925,0.3811658223470052,5.932239895065625,4.654099941253662,0.00013493598089553416,0.13493597507476807,196.6701406482607,-38.77764367684722,-38.77764367684722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0803269296884537,1.0,0.0,0.0
2022-05-02,-0.05483445804566145,281.2513732910156,279.239008585612,178851376.0,-89715388.9375,207854378.0,275.98578,291.56833,282.81903076171875,0.0,-2.4246597290039062,-0.6766796112060547,0.3713817596435547,0.3784942626953125,8.101370215415955,6.089009801546733,0.0,0.0,207.85437573492527,-54.83445828408003,-54.83445828408003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5748619536558786,1.0,0.0,0.0
2022-05-03,-0.024909204803407192,282.1668078104655,280.73552831013996,87467248.0,-41696142.625,101332088.0,279.51083,289.30844,284.2238286336263,0.00016213767230510712,-0.015979766845703125,0.068306565284729,0.36582692464192706,0.37499554951985675,9.016808648904165,7.5855302810668945,0.00016213767230510712,0.16213767230510712,101.3320892220363,-24.909205101430416,-24.909205101430416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1418052439888318,1.0,0.0,0.0
2022-05-04,-0.010985479690134525,282.45116424560547,281.24195607503253,38331128.0,-12420692.0,44432236.0,282.7843,287.49866,284.59410095214844,0.07983492035418749,0.5272808074951172,0.7666866381963094,0.3866628011067708,0.37661170959472656,9.301164627075195,8.091956893603006,0.07983492035418749,79.83492030203342,44.432235619518906,-10.98547974973917,-10.98547974973917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6174690077702205,1.0,0.0,0.0
2022-05-05,-0.06075103394687176,281.3042729695638,280.51065190633136,172157452.0,-94701495.875,199561522.0,275.61414,285.88934,281.14678446451825,0.005687900166606141,2.521684010823568,-1.166600187619527,0.37595367431640625,0.3791847229003906,8.154275039831797,7.360653837521871,0.005687900166606141,5.6879000660264865,199.56152052804828,-60.75103469192982,-60.75103469192982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9423547089099884,1.0,0.0,0.0
